# taxon distribution range models
# data save on : 2023-09-25T17:03:33-03:00
taxon	type	age	equator	pixel	density
Acer campestre	points	0	360	2097	1.000000
Acer campestre	points	0	360	2772	1.000000
Acer campestre	points	0	360	2773	1.000000
Acer campestre	points	0	360	2952	1.000000
Acer campestre	points	0	360	2953	1.000000
Acer campestre	points	0	360	2954	1.000000
Acer campestre	points	0	360	2955	1.000000
Acer campestre	points	0	360	3141	1.000000
Acer campestre	points	0	360	3142	1.000000
Acer campestre	points	0	360	3143	1.000000
Acer campestre	points	0	360	3144	1.000000
Acer campestre	points	0	360	3334	1.000000
Acer campestre	points	0	360	3335	1.000000
Acer campestre	points	0	360	3336	1.000000
Acer campestre	points	0	360	3337	1.000000
Acer campestre	points	0	360	3532	1.000000
Acer campestre	points	0	360	3533	1.000000
Acer campestre	points	0	360	3534	1.000000
Acer campestre	points	0	360	3535	1.000000
Acer campestre	points	0	360	3536	1.000000
Acer campestre	points	0	360	3726	1.000000
Acer campestre	points	0	360	3735	1.000000
Acer campestre	points	0	360	3736	1.000000
Acer campestre	points	0	360	3737	1.000000
Acer campestre	points	0	360	3738	1.000000
Acer campestre	points	0	360	3740	1.000000
Acer campestre	points	0	360	3939	1.000000
Acer campestre	points	0	360	3945	1.000000
Acer campestre	points	0	360	3946	1.000000
Acer campestre	points	0	360	3947	1.000000
Acer campestre	points	0	360	3948	1.000000
Acer campestre	points	0	360	3949	1.000000
Acer campestre	points	0	360	3950	1.000000
Acer campestre	points	0	360	3952	1.000000
Acer campestre	points	0	360	4152	1.000000
Acer campestre	points	0	360	4153	1.000000
Acer campestre	points	0	360	4156	1.000000
Acer campestre	points	0	360	4157	1.000000
Acer campestre	points	0	360	4160	1.000000
Acer campestre	points	0	360	4161	1.000000
Acer campestre	points	0	360	4162	1.000000
Acer campestre	points	0	360	4163	1.000000
Acer campestre	points	0	360	4164	1.000000
Acer campestre	points	0	360	4165	1.000000
Acer campestre	points	0	360	4166	1.000000
Acer campestre	points	0	360	4372	1.000000
Acer campestre	points	0	360	4373	1.000000
Acer campestre	points	0	360	4374	1.000000
Acer campestre	points	0	360	4375	1.000000
Acer campestre	points	0	360	4376	1.000000
Acer campestre	points	0	360	4377	1.000000
Acer campestre	points	0	360	4378	1.000000
Acer campestre	points	0	360	4379	1.000000
Acer campestre	points	0	360	4380	1.000000
Acer campestre	points	0	360	4381	1.000000
Acer campestre	points	0	360	4382	1.000000
Acer campestre	points	0	360	4383	1.000000
Acer campestre	points	0	360	4384	1.000000
Acer campestre	points	0	360	4385	1.000000
Acer campestre	points	0	360	4386	1.000000
Acer campestre	points	0	360	4596	1.000000
Acer campestre	points	0	360	4597	1.000000
Acer campestre	points	0	360	4599	1.000000
Acer campestre	points	0	360	4600	1.000000
Acer campestre	points	0	360	4601	1.000000
Acer campestre	points	0	360	4602	1.000000
Acer campestre	points	0	360	4603	1.000000
Acer campestre	points	0	360	4604	1.000000
Acer campestre	points	0	360	4605	1.000000
Acer campestre	points	0	360	4606	1.000000
Acer campestre	points	0	360	4607	1.000000
Acer campestre	points	0	360	4610	1.000000
Acer campestre	points	0	360	4611	1.000000
Acer campestre	points	0	360	4619	1.000000
Acer campestre	points	0	360	4829	1.000000
Acer campestre	points	0	360	4830	1.000000
Acer campestre	points	0	360	4831	1.000000
Acer campestre	points	0	360	4832	1.000000
Acer campestre	points	0	360	4833	1.000000
Acer campestre	points	0	360	4834	1.000000
Acer campestre	points	0	360	4835	1.000000
Acer campestre	points	0	360	4836	1.000000
Acer campestre	points	0	360	4837	1.000000
Acer campestre	points	0	360	4838	1.000000
Acer campestre	points	0	360	4839	1.000000
Acer campestre	points	0	360	4840	1.000000
Acer campestre	points	0	360	4841	1.000000
Acer campestre	points	0	360	4846	1.000000
Acer campestre	points	0	360	4849	1.000000
Acer campestre	points	0	360	5061	1.000000
Acer campestre	points	0	360	5064	1.000000
Acer campestre	points	0	360	5065	1.000000
Acer campestre	points	0	360	5066	1.000000
Acer campestre	points	0	360	5067	1.000000
Acer campestre	points	0	360	5068	1.000000
Acer campestre	points	0	360	5070	1.000000
Acer campestre	points	0	360	5071	1.000000
Acer campestre	points	0	360	5073	1.000000
Acer campestre	points	0	360	5074	1.000000
Acer campestre	points	0	360	5078	1.000000
Acer campestre	points	0	360	5080	1.000000
Acer campestre	points	0	360	5298	1.000000
Acer campestre	points	0	360	5299	1.000000
Acer campestre	points	0	360	5300	1.000000
Acer campestre	points	0	360	5301	1.000000
Acer campestre	points	0	360	5304	1.000000
Acer campestre	points	0	360	5305	1.000000
Acer campestre	points	0	360	5306	1.000000
Acer campestre	points	0	360	5307	1.000000
Acer campestre	points	0	360	5308	1.000000
Acer campestre	points	0	360	5309	1.000000
Acer campestre	points	0	360	5310	1.000000
Acer campestre	points	0	360	5311	1.000000
Acer campestre	points	0	360	5312	1.000000
Acer campestre	points	0	360	5313	1.000000
Acer campestre	points	0	360	5314	1.000000
Acer campestre	points	0	360	5324	1.000000
Acer campestre	points	0	360	5325	1.000000
Acer campestre	points	0	360	5542	1.000000
Acer campestre	points	0	360	5543	1.000000
Acer campestre	points	0	360	5544	1.000000
Acer campestre	points	0	360	5545	1.000000
Acer campestre	points	0	360	5546	1.000000
Acer campestre	points	0	360	5547	1.000000
Acer campestre	points	0	360	5548	1.000000
Acer campestre	points	0	360	5549	1.000000
Acer campestre	points	0	360	5550	1.000000
Acer campestre	points	0	360	5552	1.000000
Acer campestre	points	0	360	5553	1.000000
Acer campestre	points	0	360	5554	1.000000
Acer campestre	points	0	360	5557	1.000000
Acer campestre	points	0	360	5561	1.000000
Acer campestre	points	0	360	5790	1.000000
Acer campestre	points	0	360	5792	1.000000
Acer campestre	points	0	360	5793	1.000000
Acer campestre	points	0	360	5794	1.000000
Acer campestre	points	0	360	5795	1.000000
Acer campestre	points	0	360	5796	1.000000
Acer campestre	points	0	360	5798	1.000000
Acer campestre	points	0	360	5800	1.000000
Acer campestre	points	0	360	5801	1.000000
Acer campestre	points	0	360	5807	1.000000
Acer campestre	points	0	360	5810	1.000000
Acer campestre	points	0	360	6044	1.000000
Acer campestre	points	0	360	6045	1.000000
Acer campestre	points	0	360	6047	1.000000
Acer campestre	points	0	360	6048	1.000000
Acer campestre	points	0	360	6049	1.000000
Acer campestre	points	0	360	6050	1.000000
Acer campestre	points	0	360	6052	1.000000
Acer campestre	points	0	360	6056	1.000000
Acer campestre	points	0	360	6062	1.000000
Acer campestre	points	0	360	6066	1.000000
Acer campestre	points	0	360	6067	1.000000
Acer campestre	points	0	360	6294	1.000000
Acer campestre	points	0	360	6297	1.000000
Acer campestre	points	0	360	6299	1.000000
Acer campestre	points	0	360	6301	1.000000
Acer campestre	points	0	360	6302	1.000000
Acer campestre	points	0	360	6304	1.000000
Acer campestre	points	0	360	6305	1.000000
Acer campestre	points	0	360	6306	1.000000
Acer campestre	points	0	360	6307	1.000000
Acer campestre	points	0	360	6308	1.000000
Acer campestre	points	0	360	6312	1.000000
Acer campestre	points	0	360	6316	1.000000
Acer campestre	points	0	360	6317	1.000000
Acer campestre	points	0	360	6318	1.000000
Acer campestre	points	0	360	6324	1.000000
Acer campestre	points	0	360	6554	1.000000
Acer campestre	points	0	360	6556	1.000000
Acer campestre	points	0	360	6557	1.000000
Acer campestre	points	0	360	6558	1.000000
Acer campestre	points	0	360	6559	1.000000
Acer campestre	points	0	360	6560	1.000000
Acer campestre	points	0	360	6561	1.000000
Acer campestre	points	0	360	6564	1.000000
Acer campestre	points	0	360	6568	1.000000
Acer campestre	points	0	360	6569	1.000000
Acer campestre	points	0	360	6570	1.000000
Acer campestre	points	0	360	6574	1.000000
Acer campestre	points	0	360	6578	1.000000
Acer campestre	points	0	360	6579	1.000000
Acer campestre	points	0	360	6580	1.000000
Acer campestre	points	0	360	6590	1.000000
Acer campestre	points	0	360	6591	1.000000
Acer campestre	points	0	360	6820	1.000000
Acer campestre	points	0	360	6821	1.000000
Acer campestre	points	0	360	6822	1.000000
Acer campestre	points	0	360	6823	1.000000
Acer campestre	points	0	360	6824	1.000000
Acer campestre	points	0	360	6825	1.000000
Acer campestre	points	0	360	6826	1.000000
Acer campestre	points	0	360	6827	1.000000
Acer campestre	points	0	360	6828	1.000000
Acer campestre	points	0	360	6833	1.000000
