equator	plate	pixel	age	stage-pixel
120	0	0	0	0
120	0	0	4500000000	0
120	0	1	0	1
120	0	1	4500000000	1
120	0	2	0	2
120	0	2	4500000000	2
120	0	3	0	3
120	0	3	4500000000	3
120	0	4	0	4
120	0	4	4500000000	4
120	0	5	0	5
120	0	5	4500000000	5
120	0	6	0	6
120	0	6	4500000000	6
120	0	7	0	7
120	0	7	4500000000	7
120	0	8	0	8
120	0	8	4500000000	8
120	0	9	0	9
120	0	9	4500000000	9
120	0	10	0	10
120	0	10	4500000000	10
120	0	11	0	11
120	0	11	4500000000	11
120	0	12	0	12
120	0	12	4500000000	12
120	0	13	0	13
120	0	13	4500000000	13
120	0	14	0	14
120	0	14	4500000000	14
120	0	15	0	15
120	0	15	4500000000	15
120	0	16	0	16
120	0	16	4500000000	16
120	0	17	0	17
120	0	17	4500000000	17
120	0	18	0	18
120	0	18	4500000000	18
120	0	19	0	19
120	0	19	4500000000	19
120	0	20	0	20
120	0	20	4500000000	20
120	0	21	0	21
120	0	21	4500000000	21
120	0	22	0	22
120	0	22	4500000000	22
120	0	23	0	23
120	0	23	4500000000	23
120	0	24	0	24
120	0	24	4500000000	24
120	0	25	0	25
120	0	25	4500000000	25
120	0	26	0	26
120	0	26	4500000000	26
120	0	27	0	27
120	0	27	4500000000	27
120	0	28	0	28
120	0	28	4500000000	28
120	0	29	0	29
120	0	29	4500000000	29
120	0	30	0	30
120	0	30	4500000000	30
120	0	31	0	31
120	0	31	4500000000	31
120	0	32	0	32
120	0	32	4500000000	32
120	0	33	0	33
120	0	33	4500000000	33
120	0	34	0	34
120	0	34	4500000000	34
120	0	35	0	35
120	0	35	4500000000	35
120	0	36	0	36
120	0	36	4500000000	36
120	0	37	0	37
120	0	37	4500000000	37
120	0	38	0	38
120	0	38	4500000000	38
120	0	39	0	39
120	0	39	4500000000	39
120	0	40	0	40
120	0	40	4500000000	40
120	0	41	0	41
120	0	41	4500000000	41
120	0	42	0	42
120	0	42	4500000000	42
120	0	43	0	43
120	0	43	4500000000	43
120	0	44	0	44
120	0	44	4500000000	44
120	0	45	0	45
120	0	45	4500000000	45
120	0	46	0	46
120	0	46	4500000000	46
120	0	47	0	47
120	0	47	4500000000	47
120	0	48	0	48
120	0	48	4500000000	48
120	0	49	0	49
120	0	49	4500000000	49
120	0	50	0	50
120	0	50	4500000000	50
120	0	51	0	51
120	0	51	4500000000	51
120	0	52	0	52
120	0	52	4500000000	52
120	0	53	0	53
120	0	53	4500000000	53
120	0	54	0	54
120	0	54	4500000000	54
120	0	55	0	55
120	0	55	4500000000	55
120	0	56	0	56
120	0	56	4500000000	56
120	0	57	0	57
120	0	57	4500000000	57
120	0	58	0	58
120	0	58	4500000000	58
120	0	59	0	59
120	0	59	4500000000	59
120	0	60	0	60
120	0	60	4500000000	60
120	0	61	0	61
120	0	61	4500000000	61
120	0	62	0	62
120	0	62	4500000000	62
120	0	63	0	63
120	0	63	4500000000	63
120	0	64	0	64
120	0	64	4500000000	64
120	0	65	0	65
120	0	65	4500000000	65
120	0	66	0	66
120	0	66	4500000000	66
120	0	67	0	67
120	0	67	4500000000	67
120	0	68	0	68
120	0	68	4500000000	68
120	0	69	0	69
120	0	69	4500000000	69
120	0	70	0	70
120	0	70	4500000000	70
120	0	71	0	71
120	0	71	4500000000	71
120	0	72	0	72
120	0	72	4500000000	72
120	0	73	0	73
120	0	73	4500000000	73
120	0	74	0	74
120	0	74	4500000000	74
120	0	75	0	75
120	0	75	4500000000	75
120	0	76	0	76
120	0	76	4500000000	76
120	0	77	0	77
120	0	77	4500000000	77
120	0	78	0	78
120	0	78	4500000000	78
120	0	79	0	79
120	0	79	4500000000	79
120	0	80	0	80
120	0	80	4500000000	80
120	0	81	0	81
120	0	81	4500000000	81
120	0	82	0	82
120	0	82	4500000000	82
120	0	83	0	83
120	0	83	4500000000	83
120	0	84	0	84
120	0	84	4500000000	84
120	0	85	0	85
120	0	85	4500000000	85
120	0	86	0	86
120	0	86	4500000000	86
120	0	87	0	87
120	0	87	4500000000	87
120	0	88	0	88
120	0	88	4500000000	88
120	0	89	0	89
120	0	89	4500000000	89
120	0	90	0	90
120	0	90	4500000000	90
120	0	91	0	91
120	0	91	4500000000	91
120	0	92	0	92
120	0	92	4500000000	92
120	0	93	0	93
120	0	93	4500000000	93
120	0	94	0	94
120	0	94	4500000000	94
120	0	95	0	95
120	0	95	4500000000	95
120	0	96	0	96
120	0	96	4500000000	96
120	0	97	0	97
120	0	97	4500000000	97
120	0	98	0	98
120	0	98	4500000000	98
120	0	99	0	99
120	0	99	4500000000	99
120	0	100	0	100
120	0	100	4500000000	100
120	0	101	0	101
120	0	101	4500000000	101
120	0	102	0	102
120	0	102	4500000000	102
120	0	103	0	103
120	0	103	4500000000	103
120	0	104	0	104
120	0	104	4500000000	104
120	0	105	0	105
120	0	105	4500000000	105
120	0	106	0	106
120	0	106	4500000000	106
120	0	107	0	107
120	0	107	4500000000	107
120	0	108	0	108
120	0	108	4500000000	108
120	0	109	0	109
120	0	109	4500000000	109
120	0	110	0	110
120	0	110	4500000000	110
120	0	111	0	111
120	0	111	4500000000	111
120	0	112	0	112
120	0	112	4500000000	112
120	0	113	0	113
120	0	113	4500000000	113
120	0	114	0	114
120	0	114	4500000000	114
120	0	115	0	115
120	0	115	4500000000	115
120	0	116	0	116
120	0	116	4500000000	116
120	0	117	0	117
120	0	117	4500000000	117
120	0	118	0	118
120	0	118	4500000000	118
120	0	119	0	119
120	0	119	4500000000	119
120	0	120	0	120
120	0	120	4500000000	120
120	0	121	0	121
120	0	121	4500000000	121
120	0	122	0	122
120	0	122	4500000000	122
120	0	123	0	123
120	0	123	4500000000	123
120	0	124	0	124
120	0	124	4500000000	124
120	0	125	0	125
120	0	125	4500000000	125
120	0	126	0	126
120	0	126	4500000000	126
120	0	127	0	127
120	0	127	4500000000	127
120	0	128	0	128
120	0	128	4500000000	128
120	0	129	0	129
120	0	129	4500000000	129
120	0	130	0	130
120	0	130	4500000000	130
120	0	131	0	131
120	0	131	4500000000	131
120	0	132	0	132
120	0	132	4500000000	132
120	0	133	0	133
120	0	133	4500000000	133
120	0	134	0	134
120	0	134	4500000000	134
120	0	135	0	135
120	0	135	4500000000	135
120	0	136	0	136
120	0	136	4500000000	136
120	0	137	0	137
120	0	137	4500000000	137
120	0	138	0	138
120	0	138	4500000000	138
120	0	139	0	139
120	0	139	4500000000	139
120	0	140	0	140
120	0	140	4500000000	140
120	0	141	0	141
120	0	141	4500000000	141
120	0	142	0	142
120	0	142	4500000000	142
120	0	143	0	143
120	0	143	4500000000	143
120	0	144	0	144
120	0	144	4500000000	144
120	0	145	0	145
120	0	145	4500000000	145
120	0	146	0	146
120	0	146	4500000000	146
120	0	147	0	147
120	0	147	4500000000	147
120	0	148	0	148
120	0	148	4500000000	148
120	0	149	0	149
120	0	149	4500000000	149
120	0	150	0	150
120	0	150	4500000000	150
120	0	151	0	151
120	0	151	4500000000	151
120	0	152	0	152
120	0	152	4500000000	152
120	0	153	0	153
120	0	153	4500000000	153
120	0	154	0	154
120	0	154	4500000000	154
120	0	155	0	155
120	0	155	4500000000	155
120	0	156	0	156
120	0	156	4500000000	156
120	0	157	0	157
120	0	157	4500000000	157
120	0	158	0	158
120	0	158	4500000000	158
120	0	159	0	159
120	0	159	4500000000	159
120	0	160	0	160
120	0	160	4500000000	160
120	0	161	0	161
120	0	161	4500000000	161
120	0	162	0	162
120	0	162	4500000000	162
120	0	163	0	163
120	0	163	4500000000	163
120	0	164	0	164
120	0	164	4500000000	164
120	0	165	0	165
120	0	165	4500000000	165
120	0	166	0	166
120	0	166	4500000000	166
120	0	167	0	167
120	0	167	4500000000	167
120	0	168	0	168
120	0	168	4500000000	168
120	0	169	0	169
120	0	169	4500000000	169
120	0	170	0	170
120	0	170	4500000000	170
120	0	171	0	171
120	0	171	4500000000	171
120	0	172	0	172
120	0	172	4500000000	172
120	0	173	0	173
120	0	173	4500000000	173
120	0	174	0	174
120	0	174	4500000000	174
120	0	175	0	175
120	0	175	4500000000	175
120	0	176	0	176
120	0	176	4500000000	176
120	0	177	0	177
120	0	177	4500000000	177
120	0	178	0	178
120	0	178	4500000000	178
120	0	179	0	179
120	0	179	4500000000	179
120	0	180	0	180
120	0	180	4500000000	180
120	0	181	0	181
120	0	181	4500000000	181
120	0	182	0	182
120	0	182	4500000000	182
120	0	183	0	183
120	0	183	4500000000	183
120	0	184	0	184
120	0	184	4500000000	184
120	0	185	0	185
120	0	185	4500000000	185
120	0	186	0	186
120	0	186	4500000000	186
120	0	187	0	187
120	0	187	4500000000	187
120	0	188	0	188
120	0	188	4500000000	188
120	0	189	0	189
120	0	189	4500000000	189
120	0	190	0	190
120	0	190	4500000000	190
120	0	191	0	191
120	0	191	4500000000	191
120	0	192	0	192
120	0	192	4500000000	192
120	0	193	0	193
120	0	193	4500000000	193
120	0	194	0	194
120	0	194	4500000000	194
120	0	195	0	195
120	0	195	4500000000	195
120	0	196	0	196
120	0	196	4500000000	196
120	0	197	0	197
120	0	197	4500000000	197
120	0	198	0	198
120	0	198	4500000000	198
120	0	199	0	199
120	0	199	4500000000	199
120	0	200	0	200
120	0	200	4500000000	200
120	0	201	0	201
120	0	201	4500000000	201
120	0	202	0	202
120	0	202	4500000000	202
120	0	203	0	203
120	0	203	4500000000	203
120	0	204	0	204
120	0	204	4500000000	204
120	0	205	0	205
120	0	205	4500000000	205
120	0	206	0	206
120	0	206	4500000000	206
120	0	207	0	207
120	0	207	4500000000	207
120	0	208	0	208
120	0	208	4500000000	208
120	0	209	0	209
120	0	209	4500000000	209
120	0	210	0	210
120	0	210	4500000000	210
120	0	211	0	211
120	0	211	4500000000	211
120	0	212	0	212
120	0	212	4500000000	212
120	0	213	0	213
120	0	213	4500000000	213
120	0	214	0	214
120	0	214	4500000000	214
120	0	215	0	215
120	0	215	4500000000	215
120	0	216	0	216
120	0	216	4500000000	216
120	0	217	0	217
120	0	217	4500000000	217
120	0	218	0	218
120	0	218	4500000000	218
120	0	219	0	219
120	0	219	4500000000	219
120	0	220	0	220
120	0	220	4500000000	220
120	0	221	0	221
120	0	221	4500000000	221
120	0	222	0	222
120	0	222	4500000000	222
120	0	223	0	223
120	0	223	4500000000	223
120	0	224	0	224
120	0	224	4500000000	224
120	0	225	0	225
120	0	225	4500000000	225
120	0	226	0	226
120	0	226	4500000000	226
120	0	227	0	227
120	0	227	4500000000	227
120	0	228	0	228
120	0	228	4500000000	228
120	0	229	0	229
120	0	229	4500000000	229
120	0	230	0	230
120	0	230	4500000000	230
120	0	231	0	231
120	0	231	4500000000	231
120	0	232	0	232
120	0	232	4500000000	232
120	0	233	0	233
120	0	233	4500000000	233
120	0	234	0	234
120	0	234	4500000000	234
120	0	235	0	235
120	0	235	4500000000	235
120	0	236	0	236
120	0	236	4500000000	236
120	0	237	0	237
120	0	237	4500000000	237
120	0	238	0	238
120	0	238	4500000000	238
120	0	239	0	239
120	0	239	4500000000	239
120	0	240	0	240
120	0	240	4500000000	240
120	0	241	0	241
120	0	241	4500000000	241
120	0	242	0	242
120	0	242	4500000000	242
120	0	243	0	243
120	0	243	4500000000	243
120	0	244	0	244
120	0	244	4500000000	244
120	0	245	0	245
120	0	245	4500000000	245
120	0	246	0	246
120	0	246	4500000000	246
120	0	247	0	247
120	0	247	4500000000	247
120	0	248	0	248
120	0	248	4500000000	248
120	0	249	0	249
120	0	249	4500000000	249
120	0	250	0	250
120	0	250	4500000000	250
120	0	251	0	251
120	0	251	4500000000	251
120	0	252	0	252
120	0	252	4500000000	252
120	0	253	0	253
120	0	253	4500000000	253
120	0	254	0	254
120	0	254	4500000000	254
120	0	255	0	255
120	0	255	4500000000	255
120	0	256	0	256
120	0	256	4500000000	256
120	0	257	0	257
120	0	257	4500000000	257
120	0	258	0	258
120	0	258	4500000000	258
120	0	259	0	259
120	0	259	4500000000	259
120	0	260	0	260
120	0	260	4500000000	260
120	0	261	0	261
120	0	261	4500000000	261
120	0	262	0	262
120	0	262	4500000000	262
120	0	263	0	263
120	0	263	4500000000	263
120	0	264	0	264
120	0	264	4500000000	264
120	0	265	0	265
120	0	265	4500000000	265
120	0	266	0	266
120	0	266	4500000000	266
120	0	267	0	267
120	0	267	4500000000	267
120	0	268	0	268
120	0	268	4500000000	268
120	0	269	0	269
120	0	269	4500000000	269
120	0	270	0	270
120	0	270	4500000000	270
120	0	271	0	271
120	0	271	4500000000	271
120	0	272	0	272
120	0	272	4500000000	272
120	0	273	0	273
120	0	273	4500000000	273
120	0	274	0	274
120	0	274	4500000000	274
120	0	275	0	275
120	0	275	4500000000	275
120	0	276	0	276
120	0	276	4500000000	276
120	0	277	0	277
120	0	277	4500000000	277
120	0	278	0	278
120	0	278	4500000000	278
120	0	279	0	279
120	0	279	4500000000	279
120	0	280	0	280
120	0	280	4500000000	280
120	0	281	0	281
120	0	281	4500000000	281
120	0	282	0	282
120	0	282	4500000000	282
120	0	283	0	283
120	0	283	4500000000	283
120	0	284	0	284
120	0	284	4500000000	284
120	0	285	0	285
120	0	285	4500000000	285
120	0	286	0	286
120	0	286	4500000000	286
120	0	287	0	287
120	0	287	4500000000	287
120	0	288	0	288
120	0	288	4500000000	288
120	0	289	0	289
120	0	289	4500000000	289
120	0	290	0	290
120	0	290	4500000000	290
120	0	291	0	291
120	0	291	4500000000	291
120	0	292	0	292
120	0	292	4500000000	292
120	0	293	0	293
120	0	293	4500000000	293
120	0	294	0	294
120	0	294	4500000000	294
120	0	295	0	295
120	0	295	4500000000	295
120	0	296	0	296
120	0	296	4500000000	296
120	0	297	0	297
120	0	297	4500000000	297
120	0	298	0	298
120	0	298	4500000000	298
120	0	299	0	299
120	0	299	4500000000	299
120	0	300	0	300
120	0	300	4500000000	300
120	0	301	0	301
120	0	301	4500000000	301
120	0	302	0	302
120	0	302	4500000000	302
120	0	303	0	303
120	0	303	4500000000	303
120	0	304	0	304
120	0	304	4500000000	304
120	0	305	0	305
120	0	305	4500000000	305
120	0	306	0	306
120	0	306	4500000000	306
120	0	307	0	307
120	0	307	4500000000	307
120	0	308	0	308
120	0	308	4500000000	308
120	0	309	0	309
120	0	309	4500000000	309
120	0	310	0	310
120	0	310	4500000000	310
120	0	311	0	311
120	0	311	4500000000	311
120	0	312	0	312
120	0	312	4500000000	312
120	0	313	0	313
120	0	313	4500000000	313
120	0	314	0	314
120	0	314	4500000000	314
120	0	315	0	315
120	0	315	4500000000	315
120	0	316	0	316
120	0	316	4500000000	316
120	0	317	0	317
120	0	317	4500000000	317
120	0	318	0	318
120	0	318	4500000000	318
120	0	319	0	319
120	0	319	4500000000	319
120	0	320	0	320
120	0	320	4500000000	320
120	0	321	0	321
120	0	321	4500000000	321
120	0	322	0	322
120	0	322	4500000000	322
120	0	323	0	323
120	0	323	4500000000	323
120	0	324	0	324
120	0	324	4500000000	324
120	0	325	0	325
120	0	325	4500000000	325
120	0	326	0	326
120	0	326	4500000000	326
120	0	327	0	327
120	0	327	4500000000	327
120	0	328	0	328
120	0	328	4500000000	328
120	0	329	0	329
120	0	329	4500000000	329
120	0	330	0	330
120	0	330	4500000000	330
120	0	331	0	331
120	0	331	4500000000	331
120	0	332	0	332
120	0	332	4500000000	332
120	0	333	0	333
120	0	333	4500000000	333
120	0	334	0	334
120	0	334	4500000000	334
120	0	335	0	335
120	0	335	4500000000	335
120	0	336	0	336
120	0	336	4500000000	336
120	0	337	0	337
120	0	337	4500000000	337
120	0	338	0	338
120	0	338	4500000000	338
120	0	339	0	339
120	0	339	4500000000	339
120	0	340	0	340
120	0	340	4500000000	340
120	0	341	0	341
120	0	341	4500000000	341
120	0	342	0	342
120	0	342	4500000000	342
120	0	343	0	343
120	0	343	4500000000	343
120	0	344	0	344
120	0	344	4500000000	344
120	0	345	0	345
120	0	345	4500000000	345
120	0	346	0	346
120	0	346	4500000000	346
120	0	347	0	347
120	0	347	4500000000	347
120	0	348	0	348
120	0	348	4500000000	348
120	0	349	0	349
120	0	349	4500000000	349
120	0	350	0	350
120	0	350	4500000000	350
120	0	351	0	351
120	0	351	4500000000	351
120	0	352	0	352
120	0	352	4500000000	352
120	0	353	0	353
120	0	353	4500000000	353
120	0	354	0	354
120	0	354	4500000000	354
120	0	355	0	355
120	0	355	4500000000	355
120	0	356	0	356
120	0	356	4500000000	356
120	0	357	0	357
120	0	357	4500000000	357
120	0	358	0	358
120	0	358	4500000000	358
120	0	359	0	359
120	0	359	4500000000	359
120	0	360	0	360
120	0	360	4500000000	360
120	0	361	0	361
120	0	361	4500000000	361
120	0	362	0	362
120	0	362	4500000000	362
120	0	363	0	363
120	0	363	4500000000	363
120	0	364	0	364
120	0	364	4500000000	364
120	0	365	0	365
120	0	365	4500000000	365
120	0	366	0	366
120	0	366	4500000000	366
120	0	367	0	367
120	0	367	4500000000	367
120	0	368	0	368
120	0	368	4500000000	368
120	0	369	0	369
120	0	369	4500000000	369
120	0	370	0	370
120	0	370	4500000000	370
120	0	371	0	371
120	0	371	4500000000	371
120	0	372	0	372
120	0	372	4500000000	372
120	0	373	0	373
120	0	373	4500000000	373
120	0	374	0	374
120	0	374	4500000000	374
120	0	375	0	375
120	0	375	4500000000	375
120	0	376	0	376
120	0	376	4500000000	376
120	0	377	0	377
120	0	377	4500000000	377
120	0	378	0	378
120	0	378	4500000000	378
120	0	379	0	379
120	0	379	4500000000	379
120	0	380	0	380
120	0	380	4500000000	380
120	0	381	0	381
120	0	381	4500000000	381
120	0	382	0	382
120	0	382	4500000000	382
120	0	383	0	383
120	0	383	4500000000	383
120	0	384	0	384
120	0	384	4500000000	384
120	0	385	0	385
120	0	385	4500000000	385
120	0	386	0	386
120	0	386	4500000000	386
120	0	387	0	387
120	0	387	4500000000	387
120	0	388	0	388
120	0	388	4500000000	388
120	0	389	0	389
120	0	389	4500000000	389
120	0	390	0	390
120	0	390	4500000000	390
120	0	391	0	391
120	0	391	4500000000	391
120	0	392	0	392
120	0	392	4500000000	392
120	0	393	0	393
120	0	393	4500000000	393
120	0	394	0	394
120	0	394	4500000000	394
120	0	395	0	395
120	0	395	4500000000	395
120	0	396	0	396
120	0	396	4500000000	396
120	0	397	0	397
120	0	397	4500000000	397
120	0	398	0	398
120	0	398	4500000000	398
120	0	399	0	399
120	0	399	4500000000	399
120	0	400	0	400
120	0	400	4500000000	400
120	0	401	0	401
120	0	401	4500000000	401
120	0	402	0	402
120	0	402	4500000000	402
