pixel	lat	lon
0	90.000000	-180.000000
1	87.000000	-150.000000
2	87.000000	-90.000000
3	87.000000	-30.000000
4	87.000000	30.000000
5	87.000000	90.000000
6	87.000000	150.000000
7	84.000000	-180.000000
8	84.000000	-152.307692
9	84.000000	-124.615385
10	84.000000	-96.923077
11	84.000000	-69.230769
12	84.000000	-41.538462
13	84.000000	-13.846154
14	84.000000	13.846154
15	84.000000	41.538462
16	84.000000	69.230769
17	84.000000	96.923077
18	84.000000	124.615385
19	84.000000	152.307692
20	81.000000	-170.526316
21	81.000000	-151.578947
22	81.000000	-132.631579
23	81.000000	-113.684211
24	81.000000	-94.736842
25	81.000000	-75.789474
26	81.000000	-56.842105
27	81.000000	-37.894737
28	81.000000	-18.947368
29	81.000000	-0.000000
30	81.000000	18.947368
31	81.000000	37.894737
32	81.000000	56.842105
33	81.000000	75.789474
34	81.000000	94.736842
35	81.000000	113.684211
36	81.000000	132.631579
37	81.000000	151.578947
38	81.000000	170.526316
39	78.000000	-180.000000
40	78.000000	-165.600000
41	78.000000	-151.200000
42	78.000000	-136.800000
43	78.000000	-122.400000
44	78.000000	-108.000000
45	78.000000	-93.600000
46	78.000000	-79.200000
47	78.000000	-64.800000
48	78.000000	-50.400000
49	78.000000	-36.000000
50	78.000000	-21.600000
51	78.000000	-7.200000
52	78.000000	7.200000
53	78.000000	21.600000
54	78.000000	36.000000
55	78.000000	50.400000
56	78.000000	64.800000
57	78.000000	79.200000
58	78.000000	93.600000
59	78.000000	108.000000
60	78.000000	122.400000
61	78.000000	136.800000
62	78.000000	151.200000
63	78.000000	165.600000
64	75.000000	-174.193548
65	75.000000	-162.580645
66	75.000000	-150.967742
67	75.000000	-139.354839
68	75.000000	-127.741935
69	75.000000	-116.129032
70	75.000000	-104.516129
71	75.000000	-92.903226
72	75.000000	-81.290323
73	75.000000	-69.677419
74	75.000000	-58.064516
75	75.000000	-46.451613
76	75.000000	-34.838710
77	75.000000	-23.225806
78	75.000000	-11.612903
79	75.000000	-0.000000
80	75.000000	11.612903
81	75.000000	23.225806
82	75.000000	34.838710
83	75.000000	46.451613
84	75.000000	58.064516
85	75.000000	69.677419
86	75.000000	81.290323
87	75.000000	92.903226
88	75.000000	104.516129
89	75.000000	116.129032
90	75.000000	127.741935
91	75.000000	139.354839
92	75.000000	150.967742
93	75.000000	162.580645
94	75.000000	174.193548
95	72.000000	-180.000000
96	72.000000	-170.270270
97	72.000000	-160.540541
98	72.000000	-150.810811
99	72.000000	-141.081081
100	72.000000	-131.351351
101	72.000000	-121.621622
102	72.000000	-111.891892
103	72.000000	-102.162162
104	72.000000	-92.432432
105	72.000000	-82.702703
106	72.000000	-72.972973
107	72.000000	-63.243243
108	72.000000	-53.513514
