tree	lambda	stdDev	logLike
joyce2023	0.25	9845.412879	-1435.851154
joyce2023	0.75	8148.724442	-1440.800107
joyce2023	1.25	6975.741579	-1445.527968
joyce2023	1.75	6156.375647	-1450.164071
joyce2023	2.25	5558.375734	-1454.50249
joyce2023	2.75	5101.894233	-1458.352818
joyce2023	3.25	4740.199572	-1461.558622
joyce2023	3.75	4445.018795	-1463.942718
joyce2023	4.25	4198.41881	-1465.370791
joyce2023	4.75	3988.497299	-1465.934847
joyce2023	5.25	3807.036072	-1465.878934
joyce2023	5.75	3648.166817	-1465.390382
joyce2023	6.25	3507.578067	-1464.560049
joyce2023	6.75	3382.02425	-1463.42202
joyce2023	7.25	3269.010595	-1461.995158
joyce2023	7.75	3166.584384	-1460.312578
joyce2023	8.25	3073.192775	-1458.425421
joyce2023	8.75	2987.583569	-1456.389703
joyce2023	9.25	2908.734426	-1454.257093
joyce2023	9.75	2835.801399	-1452.072516
joyce2023	10.25	2768.080868	-1449.873569
joyce2023	10.75	2704.980928	-1447.691126
joyce2023	11.25	2645.999597	-1445.551457
joyce2023	11.75	2590.708	-1443.478443
joyce2023	12.25	2538.737231	-1441.494382
joyce2023	12.75	2489.768	-1439.619429
joyce2023	13.25	2443.522371	-1437.870536
joyce2023	13.75	2399.757127	-1436.260706
joyce2023	14.25	2358.25839	-1434.798812
joyce2023	14.75	2318.837223	-1433.489847
joyce2023	15.25	2281.326016	-1432.335427
joyce2023	15.75	2245.575485	-1431.334419
joyce2023	16.25	2211.452177	-1430.483542
joyce2023	16.75	2178.836378	-1429.777962
joyce2023	17.25	2147.620342	-1429.211795
joyce2023	17.75	2117.706802	-1428.778558
joyce2023	18.25	2089.007693	-1428.471509
joyce2023	18.75	2061.44306	-1428.283921
joyce2023	19.25	2034.940128	-1428.209252
joyce2023	19.75	2009.432491	-1428.241266
joyce2023	20.25	1984.859411	-1428.374068
joyce2023	20.75	1961.165217	-1428.602099
joyce2023	21.25	1938.29877	-1428.920083
joyce2023	21.75	1916.212999	-1429.323034
joyce2023	22.25	1894.864497	-1429.806207
joyce2023	22.75	1874.213163	-1430.365089
joyce2023	23.25	1854.22188	-1430.995408
joyce2023	23.75	1834.856242	-1431.693138
joyce2023	24.25	1816.0843	-1432.45453
joyce2023	24.75	1797.876346	-1433.276078
joyce2023	25.25	1780.204707	-1434.154558
joyce2023	25.75	1763.043577	-1435.087002
joyce2023	26.25	1746.368856	-1436.070725
joyce2023	26.75	1730.158004	-1437.103306
joyce2023	27.25	1714.389918	-1438.182531
joyce2023	27.75	1699.044816	-1439.30638
joyce2023	28.25	1684.104129	-1440.472998
joyce2023	28.75	1669.55041	-1441.680652
joyce2023	29.25	1655.367249	-1442.92772
joyce2023	29.75	1641.539192	-1444.212688
joyce2023	30.25	1628.051674	-1445.534118
joyce2023	30.75	1614.890952	-1446.890643
joyce2023	31.25	1602.044045	-1448.280957
joyce2023	31.75	1589.498687	-1449.703833
joyce2023	32.25	1577.243268	-1451.158109
joyce2023	32.75	1565.266797	-1452.6427
joyce2023	33.25	1553.558856	-1454.156606
joyce2023	33.75	1542.109565	-1455.698906
joyce2023	34.25	1530.909545	-1457.268754
joyce2023	34.75	1519.949884	-1458.865381
joyce2023	35.25	1509.222113	-1460.488083
joyce2023	35.75	1498.718174	-1462.136224
joyce2023	36.25	1488.430392	-1463.809217
joyce2023	36.75	1478.351461	-1465.506515
joyce2023	37.25	1468.474412	-1467.227618
joyce2023	37.75	1458.792598	-1468.972053
joyce2023	38.25	1449.299675	-1470.739374
joyce2023	38.75	1439.989583	-1472.529152
joyce2023	39.25	1430.856532	-1474.340956
joyce2023	39.75	1421.894983	-1476.174379
joyce2023	40.25	1413.099639	-1478.029023
joyce2023	40.75	1404.465427	-1479.904482
joyce2023	41.25	1395.98749	-1481.800359
joyce2023	41.75	1387.661172	-1483.716253
joyce2023	42.25	1379.482009	-1485.651765
joyce2023	42.75	1371.44572	-1487.606497
joyce2023	43.25	1363.548194	-1489.58005
joyce2023	43.75	1355.785486	-1491.572039
joyce2023	44.25	1348.153804	-1493.582075
joyce2023	44.75	1340.649506	-1495.609772
joyce2023	45.25	1333.269087	-1497.65474
joyce2023	45.75	1326.009179	-1499.716591
joyce2023	46.25	1318.866538	-1501.794948
joyce2023	46.75	1311.838041	-1503.889435
joyce2023	47.25	1304.920681	-1505.99968
joyce2023	47.75	1298.111562	-1508.125311
joyce2023	48.25	1291.407889	-1510.265967
joyce2023	48.75	1284.806971	-1512.421284
joyce2023	49.25	1278.306208	-1514.590912
joyce2023	49.75	1271.903094	-1516.774504

