tree	lambda	stdDev	logLike	step
joyce2023	100.000000	898.291944	-1768.669969	100.000000
joyce2023	200.000000	634.993777	-2283.329393	100.000000
joyce2023	150.000000	733.490087	-2028.327277	50.000000
joyce2023	50.000000	1268.737396	-1517.871427	50.000000
joyce2023	75.000000	1036.868391	-1638.975842	25.000000
joyce2023	25.000000	1788.975141	-1433.708393	25.000000
joyce2023	37.500000	1463.609504	-1468.096947	12.500000
joyce2023	12.500000	2513.895679	-1440.542122	12.500000
joyce2023	31.250000	1602.044045	-1448.280957	6.250000
joyce2023	18.750000	2061.443060	-1428.283921	6.250000
joyce2023	21.875000	1910.808375	-1429.436487	3.125000
joyce2023	15.625000	2254.355602	-1431.570437	3.125000
joyce2023	20.312500	1981.850663	-1428.397475	1.562500
joyce2023	17.187500	2151.449215	-1429.275160	1.562500
joyce2023	19.531250	2020.473630	-1428.214519	0.781250
# joyce2023	19.531250	-1428.214519	<--- best value
