tree	lambda	stdDev	logLike
joyce2023-trim	0.5	8922.525768	-1393.081312
joyce2023-trim	1.5	6531.544777	-1399.563258
joyce2023-trim	2.5	5315.931521	-1404.240567
joyce2023-trim	3.5	4585.594741	-1406.681727
joyce2023-trim	4.5	4089.454139	-1406.07559
joyce2023-trim	5.5	3725.076564	-1402.964058
joyce2023-trim	6.5	3443.092466	-1398.540755
joyce2023-trim	7.5	3216.579154	-1393.131795
joyce2023-trim	8.5	3029.483975	-1386.874505
joyce2023-trim	9.5	2871.575289	-1380.058836
joyce2023-trim	10.5	2735.986588	-1373.008772
joyce2023-trim	11.5	2617.916911	-1365.98085
joyce2023-trim	12.5	2513.895679	-1359.177872
joyce2023-trim	13.5	2421.3437	-1352.766691
joyce2023-trim	14.5	2338.299048	-1346.859276
joyce2023-trim	15.5	2263.239351	-1341.50789
joyce2023-trim	16.5	2194.962835	-1336.719686
joyce2023-trim	17.5	2132.506466	-1332.474166
joyce2023-trim	18.5	2075.088274	-1328.736035
joyce2023-trim	19.5	2022.065819	-1325.463051
joyce2023-trim	20.5	1972.90575	-1322.610768
joyce2023-trim	21.5	1927.161094	-1320.135366
joyce2023-trim	22.5	1884.45407	-1317.995399
joyce2023-trim	23.5	1844.462907	-1316.153036
joyce2023-trim	24.5	1806.9116	-1314.575054
joyce2023-trim	25.5	1771.561873	-1313.233295
joyce2023-trim	26.5	1738.206797	-1312.104709
joyce2023-trim	27.5	1706.665682	-1311.171006
joyce2023-trim	28.5	1676.779947	-1310.417548
joyce2023-trim	29.5	1648.409763	-1309.832194
joyce2023-trim	30.5	1621.431292	-1309.404392
joyce2023-trim	31.5	1595.734413	-1309.124421
joyce2023-trim	32.5	1571.220828	-1308.983002
joyce2023-trim	33.5	1547.802477	-1308.97111
joyce2023-trim	34.5	1525.400209	-1309.079982
joyce2023-trim	35.5	1503.942653	-1309.301145
joyce2023-trim	36.5	1483.365264	-1309.62647
joyce2023-trim	37.5	1463.609504	-1310.048232
joyce2023-trim	38.5	1444.622143	-1310.559233
joyce2023-trim	39.5	1426.354656	-1311.152796
joyce2023-trim	40.5	1408.7627	-1311.822841
joyce2023-trim	41.5	1391.805662	-1312.563859
joyce2023-trim	42.5	1375.446266	-1313.370894
joyce2023-trim	43.5	1359.650228	-1314.239524
joyce2023-trim	44.5	1344.385954	-1315.165844
joyce2023-trim	45.5	1329.624275	-1316.146376
joyce2023-trim	46.5	1315.338212	-1317.177999
joyce2023-trim	47.5	1301.502769	-1318.257942
joyce2023-trim	48.5	1288.09475	-1319.383689
joyce2023-trim	49.5	1275.092598	-1320.552952
joyce2023-trim	50.5	1262.476244	-1321.763639
joyce2023-trim	51.5	1250.22698	-1323.013792
joyce2023-trim	52.5	1238.327345	-1324.301589
joyce2023-trim	53.5	1226.761017	-1325.625301
joyce2023-trim	54.5	1215.51272	-1326.983292
joyce2023-trim	55.5	1204.568138	-1328.373975
joyce2023-trim	56.5	1193.913844	-1329.795849
joyce2023-trim	57.5	1183.537224	-1331.247463
joyce2023-trim	58.5	1173.426419	-1332.727388
joyce2023-trim	59.5	1163.570264	-1334.234233
joyce2023-trim	60.5	1153.958242	-1335.766631
joyce2023-trim	61.5	1144.580432	-1337.323215
joyce2023-trim	62.5	1135.427468	-1338.902626
joyce2023-trim	63.5	1126.490499	-1340.503518
joyce2023-trim	64.5	1117.761156	-1342.124547
joyce2023-trim	65.5	1109.231514	-1343.76436
joyce2023-trim	66.5	1100.894065	-1345.421592
joyce2023-trim	67.5	1092.741692	-1347.094885
joyce2023-trim	68.5	1084.767639	-1348.782878
joyce2023-trim	69.5	1076.965492	-1350.484261
joyce2023-trim	70.5	1069.329152	-1352.197754
joyce2023-trim	71.5	1061.852823	-1353.922118
joyce2023-trim	72.5	1054.530983	-1355.656186
joyce2023-trim	73.5	1047.358378	-1357.398868
joyce2023-trim	74.5	1040.329998	-1359.149136
joyce2023-trim	75.5	1033.441065	-1360.906144
joyce2023-trim	76.5	1026.687022	-1362.669078
joyce2023-trim	77.5	1020.063513	-1364.437238
joyce2023-trim	78.5	1013.566382	-1366.209953
joyce2023-trim	79.5	1007.191652	-1367.986623
joyce2023-trim	80.5	1000.935519	-1369.76661
joyce2023-trim	81.5	994.794346	-1371.549201
joyce2023-trim	82.5	988.764645	-1373.333679
joyce2023-trim	83.5	982.843078	-1375.119177
joyce2023-trim	84.5	977.026445	-1376.904666
joyce2023-trim	85.5	971.311675	-1378.688988
joyce2023-trim	86.5	965.695823	-1380.470805
joyce2023-trim	87.5	960.176063	-1382.248626
joyce2023-trim	88.5	954.749677	-1384.020869
joyce2023-trim	89.5	949.414056	-1385.785966
joyce2023-trim	90.5	944.166693	-1387.542453
joyce2023-trim	91.5	939.005175	-1389.289023
joyce2023-trim	92.5	933.92718	-1391.024552
joyce2023-trim	93.5	928.930475	-1392.748096
joyce2023-trim	94.5	924.012908	-1394.459006
joyce2023-trim	95.5	919.172408	-1396.156646
joyce2023-trim	96.5	914.406976	-1397.840314
joyce2023-trim	97.5	909.714687	-1399.509153
joyce2023-trim	98.5	905.093686	-1401.16207
joyce2023-trim	99.5	900.542179	-1402.797885

