tree	lambda	stdDev	logLike	step
joyce2023-trim	100.000000	898.291944	-1403.609047	100.000000
joyce2023-trim	200.000000	634.993777	-1571.930101	100.000000
joyce2023-trim	150.000000	733.490087	-1487.954000	50.000000
joyce2023-trim	50.000000	1268.737396	-1321.153244	50.000000
joyce2023-trim	75.000000	1036.868391	-1360.026849	25.000000
joyce2023-trim	25.000000	1788.975141	-1313.876203	25.000000
joyce2023-trim	37.500000	1463.609504	-1310.048232	12.500000
joyce2023-trim	43.750000	1355.785486	-1314.465838	6.250000
joyce2023-trim	31.250000	1602.044045	-1309.181068	6.250000
joyce2023-trim	34.375000	1528.147434	-1309.060062	3.125000
joyce2023-trim	35.937500	1494.835325	-1309.431123	1.562500
joyce2023-trim	32.812500	1563.788827	-1308.965789	1.562500
joyce2023-trim	33.593750	1545.660260	-1308.976320	0.781250
joyce2023-trim	32.031250	1582.570056	-1309.032620	0.781250
# joyce2023-trim	32.812500	-1308.965789	<--- best value
