tree	node	distance	d-025	d-975	brLen	speed
joyce2023	--	2592411.091	2381834.183	2841345.083	4417.948	586.791
joyce2023	1	12497.492	7210.311	19365.165	25.000	499.900
joyce2023	2	20810.846	13528.108	29733.550	40.625	512.267
joyce2023	3	4196.357	1506.801	8257.996	7.500	559.514
joyce2023	4	18839.788	12713.648	26440.719	31.250	602.873
joyce2023	5	7354.583	3702.804	12301.927	11.875	619.333
joyce2023	6	11710.890	6977.995	17641.085	19.375	604.433
joyce2023	7	11587.432	6826.514	17116.739	19.375	598.061
joyce2023	8	5716.212	2502.883	10215.688	9.375	609.729
joyce2023	9	17398.495	11490.086	24701.019	29.375	592.289
joyce2023	10	7180.754	3267.473	11798.953	10.625	675.836
joyce2023	11	10250.935	5641.651	16410.229	18.750	546.717
joyce2023	12	5319.246	2282.910	9666.268	9.060	587.108
joyce2023	13	5061.532	2473.680	9187.853	9.690	522.350
joyce2023	14	1791.213	334.050	4506.995	3.876	462.133
joyce2023	15	3239.647	1143.632	6409.755	5.814	557.219
joyce2023	16	3910.266	1994.639	6781.839	5.814	672.566
joyce2023	17	6054.586	2711.738	10720.848	11.250	538.185
joyce2023	18	16558.535	10232.462	24270.466	31.250	529.873
joyce2023	19	20079.830	12521.993	29019.375	36.875	544.538
joyce2023	20	22188.631	14751.714	30893.024	36.875	601.726
joyce2023	21	10769.781	5924.403	17196.366	20.625	522.171
joyce2023	22	2972.701	1075.093	5799.759	3.750	792.720
joyce2023	23	23560.520	16486.992	32418.627	43.750	538.526
joyce2023	24	7969.675	4001.457	13536.150	14.375	554.412
joyce2023	25	17228.318	11556.213	24278.951	29.375	586.496
joyce2023	26	8975.578	4702.086	14625.089	16.250	552.343
joyce2023	27	7724.981	3853.677	12723.402	13.125	588.570
joyce2023	28	9162.145	5008.074	13739.618	13.125	698.068
joyce2023	29	914.138	165.398	2158.253	0.625	1462.621
joyce2023	30	27526.874	20284.778	36772.275	46.875	587.240
joyce2023	31	4591.317	2061.461	8379.045	7.500	612.176
joyce2023	32	4117.594	1482.926	8329.023	8.750	470.582
joyce2023	33	15632.498	9593.513	23500.748	30.625	510.449
joyce2023	34	17130.549	11261.281	24854.603	30.625	559.365
joyce2023	35	3302.153	1202.291	6455.885	5.625	587.049
joyce2023	36	3840.684	1418.142	7492.871	6.875	558.645
joyce2023	37	16290.405	11104.596	23269.975	26.875	606.155
joyce2023	38	17613.965	12687.628	24438.839	26.875	655.403
joyce2023	39	5218.834	2350.378	9481.861	9.375	556.676
joyce2023	40	14717.434	9837.344	21281.371	24.375	603.792
joyce2023	41	3736.304	1349.711	7325.148	6.250	597.809
joyce2023	42	11376.702	6558.260	16972.650	18.125	627.680
joyce2023	43	5708.125	2437.990	10356.386	8.750	652.357
joyce2023	44	6553.507	1824.475	10860.414	9.375	699.041
joyce2023	45	4567.448	1497.318	9403.581	9.375	487.194
joyce2023	46	3780.080	1377.103	7462.851	6.875	549.830
joyce2023	47	3713.539	1336.045	7339.016	6.875	540.151
joyce2023	48	45547.115	33753.933	59237.646	90.625	502.589
joyce2023	49	7022.656	3521.972	11914.619	12.500	561.812
joyce2023	50	25748.056	17517.593	35829.837	50.000	514.961
