tree	node	distance	d-025	d-975	brLen	speed	x-005	x-095	slower	faster
joyce2023	--	2494422.478	2404183.825	2586571.950	4435.635	562.360	2856327.935	3008253.409	1.000	0.000
joyce2023	1	14308.244	7839.922	21788.505	25.000	572.330	10383.969	22451.555	0.134	0.017
joyce2023	2	19845.372	12622.660	29719.549	40.625	488.501	18415.708	32921.965	0.365	0.007
joyce2023	3	3998.790	1136.520	8296.758	7.500	533.172	2446.361	8763.176	0.182	0.017
joyce2023	4	17827.316	11326.901	26156.366	31.250	570.474	13386.743	26515.878	0.091	0.020
joyce2023	5	6994.684	2993.089	12803.822	11.875	589.026	4800.764	12853.984	0.177	0.024
joyce2023	6	11433.547	5724.583	18143.396	19.375	590.119	7045.249	17527.498	0.062	0.035
joyce2023	7	12744.861	7293.119	19341.484	19.375	657.799	7240.723	17373.367	0.025	0.072
joyce2023	8	5318.915	2013.727	10295.954	9.375	567.351	3309.369	10277.586	0.150	0.025
joyce2023	9	16649.945	10124.958	24933.332	29.375	566.807	11758.570	25008.743	0.073	0.024
joyce2023	10	6152.884	2181.230	12103.192	10.625	579.095	3875.474	11698.374	0.184	0.034
joyce2023	11	10567.014	4561.246	16738.654	18.750	563.574	7189.927	16995.403	0.135	0.022
joyce2023	12	5043.824	1854.698	10529.895	9.060	556.709	3340.603	10334.851	0.175	0.030
joyce2023	13	5781.639	2103.827	10548.673	9.690	596.665	2557.037	9873.827	0.059	0.045
joyce2023	14	1667.660	170.403	5855.420	3.876	430.256	667.170	5114.973	0.162	0.053
joyce2023	15	3951.498	1146.791	8395.188	5.814	679.658	1898.048	7332.963	0.106	0.094
joyce2023	16	4313.707	1145.263	8038.217	5.814	741.958	1860.446	7389.387	0.056	0.074
joyce2023	17	5970.986	2500.879	11442.916	11.250	530.754	4275.834	11836.936	0.206	0.018
joyce2023	18	16189.816	9431.462	24702.800	31.250	518.074	13447.244	27041.874	0.231	0.008
joyce2023	19	18803.474	12102.680	28331.780	36.875	509.925	16643.348	30204.601	0.297	0.010
