tree	node	distance	d-025	d-975	brLen	speed	x-005	x-095	slower	faster
joyce2023	--	3107749.725	2984864.867	3232014.837	4435.635	700.632	3643484.313	3848562.801	1.000	0.000
joyce2023	1	16353.159	8741.321	26577.056	25.000	654.126	13912.285	28396.136	0.301	0.011
joyce2023	2	25477.278	15088.222	39531.626	40.625	627.133	23773.523	42999.040	0.397	0.007
joyce2023	3	5225.393	1572.031	11147.879	7.500	696.719	2866.214	11177.957	0.134	0.025
joyce2023	4	22533.029	13127.037	33979.878	31.250	721.057	17833.873	34609.444	0.180	0.020
joyce2023	5	9262.356	3892.595	16655.681	11.875	779.988	6312.227	16616.567	0.174	0.026
joyce2023	6	13128.342	5631.380	22417.594	19.375	677.592	9028.687	22474.730	0.153	0.024
joyce2023	7	15237.497	7594.825	23527.037	19.375	786.451	9344.559	21556.266	0.062	0.065
joyce2023	8	7103.854	2671.071	13793.307	9.375	757.744	4651.421	13379.574	0.173	0.032
joyce2023	9	20382.414	11502.429	31444.382	29.375	693.869	15561.164	31531.297	0.160	0.024
joyce2023	10	8092.792	2777.938	15106.702	10.625	761.675	4886.099	14505.539	0.162	0.036
joyce2023	11	12776.089	5578.550	22025.683	18.750	681.391	8850.578	21763.958	0.153	0.028
joyce2023	12	6578.453	2394.886	13417.697	9.060	726.092	4031.043	13252.954	0.157	0.028
joyce2023	13	6097.202	2340.944	12925.458	9.690	629.231	3448.399	12209.293	0.140	0.040
joyce2023	14	2146.693	291.092	7009.149	3.876	553.847	889.561	6338.119	0.148	0.043
joyce2023	15	3967.221	1361.019	9828.202	5.814	682.362	2318.492	9057.985	0.136	0.045
joyce2023	16	4360.610	1711.211	9586.465	5.814	750.025	2237.535	9571.256	0.053	0.025
joyce2023	17	7257.315	3006.932	14412.931	11.250	645.095	5580.773	15468.127	0.263	0.014
joyce2023	18	20511.126	11668.201	32483.760	31.250	656.356	18085.537	34554.155	0.323	0.011
joyce2023	19	24943.778	14707.744	37690.306	36.875	676.441	20314.732	39250.922	0.216	0.014
joyce2023	20	22959.504	12323.812	36652.482	36.875	622.631	21385.552	38796.930	0.404	0.012
joyce2023	21	12683.361	6594.621	22503.482	20.625	614.951	10944.599	24679.636	0.319	0.010
joyce2023	22	3599.114	1222.989	7421.536	3.750	959.764	2016.849	7773.321	0.122	0.017
joyce2023	23	31221.972	21479.322	43514.107	43.750	713.645	24955.843	44845.809	0.113	0.016
joyce2023	24	9528.611	4322.219	17686.732	14.375	662.860	7163.927	18879.351	0.217	0.013
joyce2023	25	21299.422	13112.978	31712.474	29.375	725.087	14752.072	31255.651	0.062	0.030
joyce2023	26	11055.682	4517.783	19849.567	16.250	680.350	7934.847	20295.333	0.211	0.020
joyce2023	27	9892.794	4757.968	16707.838	13.125	753.737	5687.133	17003.241	0.054	0.021
joyce2023	28	12078.589	5428.934	18172.934	13.125	920.273	5549.732	16896.589	0.027	0.056
joyce2023	29	1144.818	221.006	2817.765	0.625	1831.709	444.780	2779.877	0.107	0.028
joyce2023	30	30081.794	19829.066	44637.968	46.875	641.745	27891.351	48476.312	0.364	0.007
joyce2023	31	5593.112	2395.944	10720.191	7.500	745.748	3862.505	12220.490	0.177	0.009
joyce2023	32	4976.214	1523.617	10553.973	8.750	568.710	3206.993	11535.748	0.198	0.014
joyce2023	33	20070.574	12008.346	31537.699	30.625	655.366	16479.946	33631.250	0.232	0.011
joyce2023	34	17819.725	9414.844	29607.769	30.625	581.869	16724.936	33704.455	0.414	0.005
joyce2023	35	4009.963	1234.931	8122.502	5.625	712.882	2389.328	9729.306	0.164	0.004
joyce2023	36	4315.452	1341.840	9173.198	6.875	627.702	2915.738	10542.966	0.235	0.007
joyce2023	37	14720.332	6902.637	25282.856	26.875	547.733	14186.469	29608.445	0.456	0.004
joyce2023	38	15767.425	8174.248	25978.823	26.875	586.695	13993.287	29698.483	0.350	0.006
joyce2023	39	5822.649	2284.872	11304.990	9.375	621.083	4324.111	13783.934	0.255	0.004
joyce2023	40	12944.720	5618.503	22869.453	24.375	531.065	12132.856	26895.538	0.429	0.004
joyce2023	41	3873.220	1157.921	8847.909	6.250	619.715	2570.618	10008.116	0.235	0.008
joyce2023	42	10115.762	4303.946	18454.607	18.125	558.111	8812.267	21851.726	0.372	0.004
joyce2023	43	5553.520	2137.278	11363.204	8.750	634.688	4375.585	13190.837	0.306	0.006
joyce2023	44	4029.624	1310.961	10931.467	9.375	429.827	3270.070	12151.363	0.362	0.011
joyce2023	45	4481.507	1297.201	11583.232	9.375	478.027	3343.397	12199.615	0.322	0.017
joyce2023	46	5161.542	1706.597	10655.925	6.875	750.770	2661.903	10586.402	0.103	0.026
joyce2023	47	5736.301	1826.802	11585.235	6.875	834.371	3033.666	11046.476	0.119	0.037
joyce2023	48	62167.746	45248.348	80309.665	90.625	685.989	58396.112	85125.278	0.337	0.007
joyce2023	49	11107.734	5081.518	18511.043	12.500	888.619	6439.924	17039.315	0.078	0.056
joyce2023	50	35467.895	23712.082	49078.089	50.000	709.358	29625.373	50666.317	0.175	0.015
joyce2023	51	19890.000	11052.114	30233.422	28.125	707.200	15220.063	30903.132	0.169	0.019
joyce2023	52	5681.238	1941.436	11100.057	6.875	826.362	2798.256	10728.663	0.083	0.033
joyce2023	53	15719.433	8675.433	24445.148	21.250	739.738	11015.093	24719.926	0.105	0.022
joyce2023	54	8168.017	3543.225	14560.852	10.625	768.755	4760.994	14602.362	0.088	0.024
joyce2023	55	9417.466	4111.460	15210.139	10.625	886.350	4679.732	14251.098	0.045	0.048
joyce2023	56	9254.787	3796.420	15639.545	10.625	871.039	4733.451	14540.564	0.068	0.052
joyce2023	57	9374.363	3945.205	16219.838	11.125	842.639	5130.684	15300.746	0.076	0.043
joyce2023	58	8837.922	3624.825	15621.106	11.000	803.447	5289.087	15246.890	0.119	0.031
joyce2023	59	5022.503	1687.470	9929.245	5.750	873.479	2664.349	9509.825	0.103	0.036
joyce2023	60	42566.432	29914.679	57076.286	61.250	694.962	36771.581	61596.738	0.197	0.006
joyce2023	61	4127.807	1412.183	8120.052	3.750	1100.749	2168.696	7798.727	0.098	0.035
joyce2023	62	39999.333	27746.421	54306.597	57.500	695.641	34910.741	57228.473	0.218	0.010
joyce2023	63	15163.244	8028.384	23994.212	20.625	735.188	11113.363	24108.563	0.148	0.024
joyce2023	64	26490.679	17104.999	37749.259	36.875	718.391	21230.526	39103.528	0.149	0.015
joyce2023	65	13488.611	6999.929	21622.207	17.500	770.778	9701.885	22083.776	0.144	0.020
joyce2023	66	13780.327	7650.855	21950.226	19.375	711.243	8930.852	22870.958	0.067	0.016
joyce2023	67	13050.234	5998.086	21820.569	19.375	673.560	8696.951	22400.884	0.139	0.019
joyce2023	68	4301.069	1435.847	8722.405	4.375	983.101	2249.530	8610.778	0.102	0.028
joyce2023	69	47974.297	32812.281	63909.218	68.750	697.808	42709.742	67528.483	0.252	0.008
joyce2023	70	17329.043	9730.044	26738.192	24.375	710.935	12338.732	25967.568	0.106	0.035
joyce2023	71	17327.351	8895.247	27077.408	24.375	710.866	12834.814	27076.366	0.163	0.025
joyce2023	72	3639.677	1175.052	7833.761	3.750	970.580	2011.692	7655.070	0.133	0.030
joyce2023	73	23902.799	14715.901	33811.556	30.000	796.760	16725.745	33225.598	0.065	0.033
joyce2023	74	40949.081	29047.072	55173.755	59.375	689.669	34692.167	57184.306	0.164	0.013
joyce2023	75	2901.321	477.686	7648.711	3.688	786.799	889.561	6671.704	0.078	0.062
joyce2023	76	3566.036	1254.345	8546.721	3.688	967.061	1886.339	7757.110	0.103	0.050
joyce2023	77	38946.604	27221.773	52814.209	55.688	699.378	33941.743	56130.313	0.216	0.008
joyce2023	78	5591.433	1679.555	11584.844	6.875	813.299	2962.190	10354.147	0.136	0.062
joyce2023	79	28441.209	18085.948	44318.630	48.125	590.986	29172.605	49570.648	0.543	0.005
joyce2023	80	8983.199	3786.217	17070.627	14.995	599.073	7381.542	19371.298	0.318	0.008
joyce2023	81	11876.815	6564.802	20753.973	19.380	612.844	9173.029	21838.707	0.221	0.015
joyce2023	82	11428.738	5959.799	20448.417	19.380	589.723	9291.988	22636.260	0.285	0.009
joyce2023	83	6748.414	2547.326	13588.251	10.625	635.145	5147.459	14670.124	0.282	0.013
joyce2023	84	15112.487	8681.893	24817.079	23.750	636.315	12369.054	26767.516	0.259	0.011
joyce2023	85	10006.753	4191.391	18065.375	15.000	667.117	7707.304	19255.630	0.260	0.013
joyce2023	86	5998.299	2048.188	10955.075	8.750	685.520	3135.654	12660.395	0.096	0.008
joyce2023	87	6227.186	2072.872	10971.843	8.750	711.678	3350.646	12163.607	0.115	0.011
joyce2023	88	4358.339	1456.585	9513.797	5.625	774.816	2601.018	9731.001	0.151	0.021
joyce2023	89	19960.438	11960.606	32596.466	33.125	602.579	19807.278	36656.879	0.488	0.006
joyce2023	90	4713.798	1563.135	10033.654	6.250	754.208	2585.786	10331.260	0.121	0.020
joyce2023	91	6564.602	2603.992	12778.671	8.750	750.240	4314.857	13256.543	0.168	0.019
joyce2023	92	17469.766	8899.901	28844.987	28.750	607.644	15547.194	30410.620	0.351	0.014
joyce2023	93	19548.615	11491.574	29013.111	25.000	781.945	13820.001	28016.253	0.086	0.039
joyce2023	94	5368.349	1900.009	10822.301	3.750	1431.560	889.561	6449.314	0.004	0.383
joyce2023	95	6588.444	1523.112	9935.244	3.750	1756.918	778.365	6338.119	0.009	0.548
joyce2023	96	3712.087	1152.723	7576.274	3.750	989.890	2183.684	8006.105	0.156	0.016
joyce2023	97	20774.695	11467.234	33088.034	33.750	615.547	17991.382	35834.997	0.304	0.009
joyce2023	98	7120.617	2691.107	14286.690	11.250	632.944	5296.825	15235.810	0.269	0.014
joyce2023	99	14453.989	8080.170	23972.039	22.500	642.400	11871.553	25509.999	0.261	0.013
joyce2023	100	4408.793	1326.885	9801.645	6.250	705.407	2699.805	9974.636	0.198	0.022
joyce2023	101	10806.520	5837.130	18748.012	16.250	665.017	7834.691	19856.284	0.133	0.014
joyce2023	102	12236.013	7320.100	20051.715	16.250	752.985	7837.573	20440.096	0.038	0.020
joyce2023	103	2066.318	343.598	6115.436	2.500	826.527	667.170	5559.753	0.084	0.043
joyce2023	104	24628.505	14403.920	36508.479	35.000	703.672	20399.511	37875.539	0.226	0.014
joyce2023	105	9177.728	3305.200	13169.988	6.250	1468.436	2454.276	9950.117	0.009	0.367
joyce2023	106	5624.718	1778.598	9764.819	3.125	1799.910	1957.656	7449.135	0.035	0.204
joyce2023	107	2513.520	493.406	5140.374	3.125	804.326	667.170	6115.729	0.042	0.006
joyce2023	108	2743.553	555.986	5542.159	3.125	877.937	778.365	6226.924	0.047	0.017
joyce2023	109	4556.036	1441.462	9728.293	4.375	1041.380	1949.827	8412.679	0.064	0.075
joyce2023	110	26239.009	15578.125	38231.873	36.875	711.566	21233.187	39276.579	0.186	0.017
joyce2023	111	5216.576	1520.349	10939.160	5.625	927.391	2473.421	9707.899	0.099	0.063
joyce2023	112	2855.146	940.188	5773.823	1.875	1522.745	1448.544	5566.951	0.095	0.033
