# time calibrated phylogenetic trees
# data saved on: 2024-05-16T14:01:17-03:00
tree	node	parent	age	taxon
joyce2023-trim	0	-1	104375000	
joyce2023-trim	1	0	79375000	
joyce2023-trim	2	1	38750000	
joyce2023-trim	3	2	31250000	
joyce2023-trim	4	3	0	Hypelate trifoliata
joyce2023-trim	5	3	19375000	
joyce2023-trim	6	5	0	Ganophyllum falcatum
joyce2023-trim	7	5	0	Zanha golungensis
joyce2023-trim	8	2	29375000	
joyce2023-trim	9	8	0	Exothea paniculata
joyce2023-trim	10	8	18750000	
joyce2023-trim	11	10	0	Hippobromus pauciflorus
joyce2023-trim	12	10	9689922	
joyce2023-trim	13	12	0	Filicium longifolium
joyce2023-trim	14	12	5813953	
joyce2023-trim	15	14	0	Filicium decipiens
joyce2023-trim	16	14	0	Filicium thouarsianum
joyce2023-trim	17	1	68125000	
joyce2023-trim	18	17	36875000	
joyce2023-trim	19	18	0	Euchorium cubense
joyce2023-trim	20	18	0	Magonia pubescens
joyce2023-trim	21	17	47500000	
joyce2023-trim	22	21	43750000	
joyce2023-trim	23	22	0	Hirania rosea
joyce2023-trim	24	22	29375000	
joyce2023-trim	25	24	0	Conchopetalum brachysepalum
joyce2023-trim	26	24	13125000	
joyce2023-trim	27	26	0	Arfeuillea arborescens
joyce2023-trim	28	26	0	Majidea zanguebarica
joyce2023-trim	29	21	46875000	
joyce2023-trim	30	29	0	Llagunoa nitida
joyce2023-trim	31	29	39375000	
joyce2023-trim	32	31	30625000	
joyce2023-trim	33	32	0	Boniodendron parviflorum
joyce2023-trim	34	32	0	Euphorianthus euneurus
joyce2023-trim	35	31	33750000	
joyce2023-trim	36	35	26875000	
joyce2023-trim	37	36	0	Harpullia rhyticarpa
joyce2023-trim	38	36	0	Loxodiscus coriaceus
joyce2023-trim	39	35	24375000	
joyce2023-trim	40	39	0	Cossinia australiana
joyce2023-trim	41	39	18125000	
joyce2023-trim	42	41	0	Diplopeltis huegelii
joyce2023-trim	43	41	9375000	
joyce2023-trim	44	43	0	Dodonaea dodecandra
joyce2023-trim	45	43	0	Dodonaea viscosa
joyce2023-trim	46	0	97500000	
joyce2023-trim	47	46	90625000	
joyce2023-trim	48	47	0	Xanthoceras sorbifolium
joyce2023-trim	49	47	78125000	
joyce2023-trim	50	49	28125000	
joyce2023-trim	51	50	0	Billia hippocastanum
joyce2023-trim	52	50	21250000	
joyce2023-trim	53	52	0	Handeliodendron bodinieri
joyce2023-trim	54	52	10625000	
joyce2023-trim	55	54	0	Aesculus chinensis
joyce2023-trim	56	54	0	Aesculus pavia
joyce2023-trim	57	49	67000000	
joyce2023-trim	58	57	56000000	Dipteronia brownii
joyce2023-trim	59	57	61250000	
joyce2023-trim	60	59	0	Dipteronia sinensis
joyce2023-trim	61	59	57500000	
joyce2023-trim	62	61	0	Dipteronia dyeriana
joyce2023-trim	63	61	36875000	
joyce2023-trim	64	63	0	Acer palmatum
joyce2023-trim	65	63	19375000	
joyce2023-trim	66	65	0	Acer campestre
joyce2023-trim	67	65	0	Acer rubrum
joyce2023-trim	68	46	93125000	
joyce2023-trim	69	68	24375000	
joyce2023-trim	70	69	0	Delavaya toxocarpa
joyce2023-trim	71	69	0	Ungnadia speciosa
joyce2023-trim	72	68	89375000	
joyce2023-trim	73	72	59375000	
joyce2023-trim	74	73	0	Stocksia brahuica
joyce2023-trim	75	73	55687500	
joyce2023-trim	76	75	52000000	Koelreuteria allenii
joyce2023-trim	77	75	0	Koelreuteria paniculata
joyce2023-trim	78	72	82500000	
joyce2023-trim	79	78	34375000	
joyce2023-trim	80	79	19379844	
joyce2023-trim	81	80	0	Paranephelium macrophyllum
joyce2023-trim	82	80	0	Paranephelium xestophyllum
joyce2023-trim	83	79	23750000	
joyce2023-trim	84	83	0	Sisyrolepis muricata
joyce2023-trim	85	83	8750000	
joyce2023-trim	86	85	0	Amesiodendron chinense
joyce2023-trim	87	85	0	Pavieasia anamensis
joyce2023-trim	88	78	76875000	
joyce2023-trim	89	88	43750000	
joyce2023-trim	90	89	37500000	
joyce2023-trim	91	90	28750000	
joyce2023-trim	92	91	0	Pometia pinnata
joyce2023-trim	93	91	3750000	
joyce2023-trim	94	93	0	Blighia sapida
joyce2023-trim	95	93	0	Nephelium lappaceum
joyce2023-trim	96	90	33750000	
joyce2023-trim	97	96	0	Xerospermum noronhianum
joyce2023-trim	98	96	22500000	
joyce2023-trim	99	98	0	Litchi chinensis
joyce2023-trim	100	98	16250000	
joyce2023-trim	101	100	0	Dimocarpus longan
joyce2023-trim	102	100	0	Otonephelium stipulaceum
joyce2023-trim	103	89	41250000	
joyce2023-trim	104	103	6250000	
joyce2023-trim	105	104	0	Cubilia cubili
joyce2023-trim	106	104	3125000	
joyce2023-trim	107	106	0	Glenniea africana
joyce2023-trim	108	106	0	Radlkofera calodendron
joyce2023-trim	109	103	36875000	
joyce2023-trim	110	109	0	Aporrhiza paniculata
joyce2023-trim	111	109	31250000	
joyce2023-trim	112	111	29375000	
joyce2023-trim	113	112	0	Laccodiscus ferrugineus
joyce2023-trim	114	112	0	Pancovia bijuga
joyce2023-trim	115	111	19375000	
joyce2023-trim	116	115	0	Haplocoelopsis africana
joyce2023-trim	117	115	0	Placodiscus turbinatus
joyce2023-trim	118	88	74375000	
joyce2023-trim	119	118	73125000	
joyce2023-trim	120	119	46250000	
joyce2023-trim	121	120	24375000	
joyce2023-trim	122	121	0	Tristira triptera
joyce2023-trim	123	121	0	Zollingeria borneensis
joyce2023-trim	124	120	34375000	
joyce2023-trim	125	124	26250000	
joyce2023-trim	126	125	24375000	
joyce2023-trim	127	126	0	Alatococcus siqueirae
joyce2023-trim	128	126	0	Deinbollia pinnata
joyce2023-trim	129	125	15503875	
joyce2023-trim	130	129	0	Atalaya alata
joyce2023-trim	131	129	0	Atalaya capensis
joyce2023-trim	132	124	33125000	
joyce2023-trim	133	132	18750000	
joyce2023-trim	134	133	0	Thouinidium decandrum
joyce2023-trim	135	133	0	Toulicia reticulata
joyce2023-trim	136	132	28125000	
joyce2023-trim	137	136	0	Hornea mauritiana
joyce2023-trim	138	136	23750000	
joyce2023-trim	139	138	19375000	
joyce2023-trim	140	139	0	Lepisanthes ramiflora
joyce2023-trim	141	139	0	Lepisanthes rubiginosa
joyce2023-trim	142	138	8125000	
